id,name_ja,name_zh,name_en,category,fling_power,fling_effect,description_ja,description_zh,description_en,image_path
1,マスターボール,大师球,master-ball,standard-balls,,,野生の　ポケモンを　必ず 捕まえることが　できる 最高　性能の　ボール。,必定能捉到野生宝可梦的， 性能最好的球。,"The best Poké Ball with the ultimate level of performance. With it, you will catch any wild Pokémon without fail.",heldItemImage/master-ball.png
2,ハイパーボール,高级球,ultra-ball,standard-balls,,,スーパーボールよりも　さらに ポケモンを　捕まえやすくなった すごく　性能のいい　ボール。,比起超级球来 更容易捉到宝可梦的， 性能非常不错的球。,An ultra-high-performance Poké Ball that provides a higher success rate for catching Pokémon than a Great Ball.,heldItemImage/ultra-ball.png
3,スーパーボール,超级球,great-ball,standard-balls,,,モンスターボールよりも　さらに ポケモンを　捕まえやすくなった 少し　性能のいい　ボール。,比起精灵球来 更容易捉到宝可梦的， 性能还算不错的球。,"A good, high-performance Poké Ball that provides a higher success rate for catching Pokémon than a standard Poké Ball.",heldItemImage/great-ball.png
4,モンスターボール,精灵球,poke-ball,standard-balls,,,野生の　ポケモンに　投げて 捕まえるための　ボール。 カプセル式に　なっている。,用于投向野生宝可梦 并将其捕捉的球。 它是胶囊样式的。,"A device for catching wild Pokémon. It’s thrown like a ball at a Pokémon, comfortably encapsulating its target.",heldItemImage/poke-ball.png
5,サファリボール,狩猎球,safari-ball,standard-balls,,,カントー地方の　サファリゾーンや シンオウ地方の　大湿原で 使われていた　特別な　ボール。,曾在关都地区的狩猎地带 以及神奥地区的大湿地被使用。 是一种特殊的球。,A special Poké Ball that was used in the Safari Zone in the Kanto region and in the Great Marsh in the Sinnoh region.,heldItemImage/safari-ball.png
6,ネットボール,捕网球,net-ball,special-balls,,,みずタイプと　むしタイプの ポケモンが　捕まえやすくなる ちょっと　変わった　ボール。,有点与众不同的球。 能很容易地捕捉 水属性和虫属性的宝可梦。,A somewhat different Poké Ball that is more effective when attempting to catch Water- or Bug-type Pokémon.,heldItemImage/net-ball.png
7,ダイブボール,潜水球,dive-ball,special-balls,,,水の　世界で　暮らしている ポケモンが　捕まえやすくなる ちょっと　変わった　ボール。,有点与众不同的球。 能很容易地捕捉 生活在水世界里的宝可梦。,A somewhat different Poké Ball that works especially well when catching Pokémon that live underwater.,heldItemImage/dive-ball.png
8,ネストボール,巢穴球,nest-ball,special-balls,,,捕まえる　野生の　ポケモンが 弱いほど　捕まえやすくなる ちょっと　変わった　ボール。,有点与众不同的球。 捕捉的野生宝可梦越弱， 就会越容易捕捉。,A somewhat different Poké Ball that becomes more effective the lower the level of the wild Pokémon.,heldItemImage/nest-ball.png
9,リピートボール,重复球,repeat-ball,special-balls,,,捕まえたことの　ある ポケモンが　捕まえやすくなる ちょっと　変わった　ボール。,有点与众不同的球。 能很容易地捕捉 以前曾捉到过的宝可梦。,A somewhat different Poké Ball that works especially well on a Pokémon species that has been caught before.,heldItemImage/repeat-ball.png
10,タイマーボール,计时球,timer-ball,special-balls,,,ターン数が　かかれば　かかるほど ポケモンが　捕まえやすくなる ちょっと　変わった　ボール。,有点与众不同的球。 回合数花费得越多， 宝可梦就会越容易捕捉。,A somewhat different Poké Ball that becomes progressively more effective at catching Pokémon the more turns that are taken in battle.,heldItemImage/timer-ball.png
11,ゴージャスボール,豪华球,luxury-ball,special-balls,,,捕まえた　野生ポケモンが とても　なかよく　なりやすくなる いごこちの　いい　ボール。,舒适宜居的球。 捉到的野生宝可梦会 变得非常容易和训练家亲密。,A particularly comfortable Poké Ball that makes a wild Pokémon quickly grow friendlier after being caught.,heldItemImage/luxury-ball.png
12,プレミアボール,纪念球,premier-ball,special-balls,,,なにかの　記念の　品として 特別に　つくられた ちょっと　珍しい　ボール。,有点珍贵的球。 特制出来的某种纪念品。,A somewhat rare Poké Ball that was made as a commemorative item used to celebrate an event of some sort.,heldItemImage/premier-ball.png
13,ダークボール,黑暗球,dusk-ball,special-balls,,,夜や　どうくつなど　暗いところで ポケモンが　捕まえやすくなる ちょっと　変わった　ボール。,有点与众不同的球。 能很容易地在夜晚或洞窟等 阴暗的地方捕捉宝可梦。,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places such as caves.,heldItemImage/dusk-ball.png
