id,name_ja,name_zh,name_en,type,damage_class,power,accuracy,priority,pp,description_ja,description_zh,description_en,effect_ja,effect_zh,effect_en,learned_by_pokemon,type_id
1,はたく,拍击,pound,normal,physical,40,100,0,35,長い　しっぽや　手などを　使って 相手を　はたいて　攻撃する。,使用长长的尾巴或手等 拍打对手进行攻击。,"The target is physically pounded with a long tail, a foreleg, or the like.",,,Inflicts regular damage.,102,1
2,からてチョップ,空手劈,karate-chop,fighting,physical,50,100,0,25,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,11,2
3,おうふくビンタ,连环巴掌,double-slap,normal,physical,15,85,0,10,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",43,1
4,れんぞくパンチ,连续拳,comet-punch,normal,physical,18,85,0,15,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",9,1
5,メガトンパンチ,百万吨重拳,mega-punch,normal,physical,80,85,0,20,力を　こめた　パンチで 相手を　攻撃する。,用充满力量的拳头攻击对手。,The target is slugged by a punch thrown with muscle-packed power.,,,Inflicts regular damage.,231,1
6,ネコにこばん,聚宝功,pay-day,normal,physical,40,100,0,20,相手の　体に 小判を　投げつけて　攻撃する。 戦闘の　あとで　お金が　もらえる。,向对手的身体 投掷小金币进行攻击。 战斗后可以拿到钱。,Coins are hurled at the target to inflict damage. Money is earned after the battle.,,,"Inflicts regular damage.  After the battle ends, the winner receives five times the user’s level in extra money for each time this move was used.",68,1
7,ほのおのパンチ,火焰拳,fire-punch,fire,physical,75,100,0,15,炎を　こめた　パンチで 相手を　攻撃する。 やけど状態に　することが　ある。,用充满火焰的拳头攻击对手。 有时会让对手陷入灼伤状态。,The target is attacked with a fiery punch. This may also leave the target with a burn.,,,Inflicts regular damage.  Has a 10% chance to burn the target.,209,10
8,れいとうパンチ,冰冻拳,ice-punch,ice,physical,75,100,0,15,冷気を　こめた　パンチで 相手を　攻撃する。 こおり状態に　することが　ある。,用充满寒气的拳头攻击对手。 有时会让对手陷入冰冻状态。,The target is attacked with an icy punch. This may also leave the target frozen.,,,Inflicts regular damage.  Has a 10% chance to freeze the target.,227,15
9,かみなりパンチ,雷电拳,thunder-punch,electric,physical,75,100,0,15,電撃を　こめた　パンチで 相手を　攻撃する。 まひ状態に　することが　ある。,用充满电流的拳头攻击对手。 有时会让对手陷入麻痹状态。,The target is attacked with an electrified punch. This may also leave the target with paralysis.,,,Inflicts regular damage.  Has a 10% chance to paralyze the target.,264,13
10,ひっかく,抓,scratch,normal,physical,40,100,0,35,硬く　とがった　鋭い　ツメで 相手を　ひっかいて　攻撃する。,用坚硬且无比锋利的爪子 抓对手进行攻击。,"Hard, pointed, sharp claws rake the target to inflict damage.",,,Inflicts regular damage.,121,1
11,はさむ,夹住,vice-grip,normal,physical,55,100,0,30,相手を　両側から　はさんで ダメージを　あたえる。,将对手从两侧夹住， 给予伤害。,The target is gripped and squeezed from both sides to inflict damage.,,,Inflicts regular damage.,19,1
