pokedex_id	pokeapi_id	name_en	name_zh	name_ja	is_default_form	type1	type2	ability1_name	ability2_name	hidden_ability_name	weight_kg	hp	attack	defense	sp_attack	sp_defense	speed	total_stats	description_zh	description_en	description_ja
1	1	bulbasaur	妙蛙种子	フシギダネ	TRUE	grass	poison	overgrow		chlorophyll	6.9	45	49	49	65	65	45	318	在出生后的一段时间内， 它会吸收背上种子里 储存着的营养成长。	"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."	生まれて　しばらくの　あいだ 背中の　タネに　つまった 栄養を　とって　育つ。
2	2	ivysaur	妙蛙草	フシギソウ	TRUE	grass	poison	overgrow		chlorophyll	13	60	62	63	80	80	60	405	沐浴在阳光下越久， 身体内会涌出越多力量， 背上的花苞也会渐渐成长。	Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.	太陽の　光を　浴びるほど 体に　力が　わいて　背中の つぼみが　育っていく。
3	3	venusaur	妙蛙花	フシギバナ	TRUE	grass	poison	overgrow		chlorophyll	100	80	82	83	100	100	80	525	花朵散发出的迷人香味 能安抚激动的心情， 甚至消弭斗争。	A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.	花から　うっとりする　香りが ただよい　戦うものの　気持ちを なだめてしまう。
3	10033	venusaur-mega	妙蛙花（超级进化）	フシギバナ（メガシンカ）	FALSE	grass	poison	thick-fat			155.5	80	100	123	122	120	80	625	花朵散发出的迷人香味 能安抚激动的心情， 甚至消弭斗争。	A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.	花から　うっとりする　香りが ただよい　戦うものの　気持ちを なだめてしまう。
3	10195	venusaur-gmax	妙蛙花（超极巨化）	フシギバナ（キョダイマックス）	FALSE	grass	poison	overgrow		chlorophyll	1000	80	82	83	100	100	80	525	花朵散发出的迷人香味 能安抚激动的心情， 甚至消弭斗争。	A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.	花から　うっとりする　香りが ただよい　戦うものの　気持ちを なだめてしまう。
4	4	charmander	小火龙	ヒトカゲ	TRUE	fire		blaze		solar-power	8.5	39	52	43	60	50	65	309	生下来的时候， 尾巴上就有火焰在燃烧。 火焰熄灭时，它的生命也会结束。	"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."	生まれたときから　しっぽに　炎が ともっている。　炎が　消えたとき その　命は　終わって　しまう。
5	5	charmeleon	火恐龙	リザード	TRUE	fire		blaze		solar-power	19	58	64	58	80	65	80	405	如果它在战斗中亢奋起来， 就会喷出灼热的火焰， 把周围的东西烧得一干二净。	"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."	戦いで　気持ちが　たかぶると 灼熱の　炎を　吹きながら あたりを　燃やしてまわる。
6	6	charizard	喷火龙	リザードン	TRUE	fire	flying	blaze		solar-power	90.5	78	84	78	109	85	100	534	能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。	"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."	地上　１４００メートル　まで 羽を　使って　飛ぶことができる。 高熱の　炎を　吐く。
6	10034	charizard-mega-x	喷火龙（超级进化X）	リザードン（メガシンカX）	FALSE	fire	dragon	tough-claws			110.5	78	130	111	130	85	100	634	能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。	"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."	地上　１４００メートル　まで 羽を　使って　飛ぶことができる。 高熱の　炎を　吐く。
6	10035	charizard-mega-y	喷火龙（超级进化Y）	リザードン（メガシンカY）	FALSE	fire	flying	drought			100.5	78	104	78	159	115	100	634	能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。	"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."	地上　１４００メートル　まで 羽を　使って　飛ぶことができる。 高熱の　炎を　吐く。
6	10196	charizard-gmax	喷火龙（超极巨化）	リザードン（キョダイマックス）	FALSE	fire	flying	blaze		solar-power	1000	78	84	78	109	85	100	534	能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。	"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."	地上　１４００メートル　まで 羽を　使って　飛ぶことができる。 高熱の　炎を　吐く。
7	7	squirtle	杰尼龟	ゼニガメ	TRUE	water		torrent		rain-dish	9	44	48	65	50	64	43	314	当它遇到危险的时候， 会将四肢收回龟壳里保护自己， 同时从嘴里喷出水来。	"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."	危なくなると　甲羅に　手足を 引っこめて　身を　守りながら 口から　水を　吹き出している。
8	8	wartortle	卡咪龟	カメール	TRUE	water		torrent		rain-dish	22.5	59	63	80	65	80	58	405	会灵巧地摆动自己 毛茸茸的耳朵和尾巴， 借此在水中保持平衡。	It cleverly controls its furry ears and tail to maintain its balance while swimming.	ふさふさの　耳と　しっぽを たくみに　操って　水中での バランスを　たもつ。
9	9	blastoise	水箭龟	カメックス	TRUE	water		torrent		rain-dish	85.5	79	83	100	85	105	78	530	从龟壳上的大炮里 放出的喷射水流 足以贯穿厚实的铁板。	The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.	甲羅の　ロケット砲　から 噴き出した　ジェット水流は ぶ厚い　鉄板も　つらぬく。
9	10036	blastoise-mega	水箭龟（超级进化）	カメックス（メガシンカ）	FALSE	water		mega-launcher			101.1	79	103	120	135	115	78	630	从龟壳上的大炮里 放出的喷射水流 足以贯穿厚实的铁板。	The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.	甲羅の　ロケット砲　から 噴き出した　ジェット水流は ぶ厚い　鉄板も　つらぬく。
9	10197	blastoise-gmax	水箭龟（超极巨化）	カメックス（キョダイマックス）	FALSE	water		torrent		rain-dish	1000	79	83	100	85	105	78	530	从龟壳上的大炮里 放出的喷射水流 足以贯穿厚实的铁板。	The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.	甲羅の　ロケット砲　から 噴き出した　ジェット水流は ぶ厚い　鉄板も　つらぬく。
10	10	caterpie	绿毛虫	キャタピー	TRUE	bug		shield-dust		run-away	2.9	45	30	35	20	20	45	195	别看它的脚很短， 因为是吸盘，所以无论是 斜坡还是墙壁都能轻松前进。	Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.	脚は　短いが　吸盤に なっているので　坂でも　壁でも くたびれることなく　進んでいく。
11	11	metapod	铁甲蛹	トランセル	TRUE	bug		shed-skin			9.9	50	20	55	25	25	30	205	虽然有坚硬的外壳， 因为壳里的身体很软， 所以无法抵抗强力的攻击。	"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."	硬い　殻に　包まれているが 中身は　軟らかいので 強い　攻撃には　耐えられない。
12	12	butterfree	巴大蝶	バタフリー	TRUE	bug	flying	compound-eyes		tinted-lens	32	60	45	50	90	80	70	395	每天都忙着采集花蜜。 习惯往腿部的细毛上涂满花蜜， 然后带回巢穴里。	It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.	毎日　ミツを　集めまわる。 脚の　産毛に　ミツを　塗りこんで 巣に　持ち帰る　習性をもつ。
12	10198	butterfree-gmax	巴大蝶（超极巨化）	バタフリー（キョダイマックス）	FALSE	bug	flying	compound-eyes		tinted-lens	1000	60	45	50	90	80	70	395	每天都忙着采集花蜜。 习惯往腿部的细毛上涂满花蜜， 然后带回巢穴里。	It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.	毎日　ミツを　集めまわる。 脚の　産毛に　ミツを　塗りこんで 巣に　持ち帰る　習性をもつ。
13	13	weedle	独角虫	ビードル	TRUE	bug	poison	shield-dust		run-away	3.2	40	35	30	20	20	50	195	头上长有尖锐的针。 它喜欢藏在森林或 草丛里大量吞食树叶。	Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.	頭に　鋭い　ハリを　もつ。 森や　草地の　茂みに　隠れ ひたすら　ハッパを　食べている。
14	14	kakuna	铁壳蛹	コクーン	TRUE	bug	poison	shed-skin			10	45	25	50	25	25	35	205	虽然几乎动也动不了， 但是如果遇到了危险， 有时似乎会竖起毒刺来反抗。	"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."	自分では　ほとんど　動けないが 危なくなると　ハリを出して 毒を　与えることも　あるらしい。
