id,name_zh,reason
4,妙蛙花（超级进化）,未匹配
5,妙蛙花（超极巨化）,未匹配
9,喷火龙（超级进化X）,未匹配
10,喷火龙（超级进化Y）,未匹配
11,喷火龙（超极巨化）,未匹配
15,水箭龟（超级进化）,未匹配
16,水箭龟（超极巨化）,未匹配
20,巴大蝶（超极巨化）,未匹配
24,大针蜂（超级进化）,未匹配
28,大比鸟（超级进化）,未匹配
30,小拉达（阿罗拉的样子）,未匹配
32,拉达（阿罗拉的样子）,未匹配
33,拉达（霸主 阿罗拉的样子）,未匹配
39,皮卡丘（摇滚巨星）,未匹配
40,皮卡丘（贵妇）,未匹配
41,皮卡丘（流行偶像）,未匹配
42,皮卡丘（博士）,未匹配
43,皮卡丘（面具摔跤手）,未匹配
44,皮卡丘（换装）,未匹配
45,皮卡丘（原始之帽）,未匹配
46,皮卡丘（丰缘之帽）,未匹配
47,皮卡丘（神奥之帽）,未匹配
48,皮卡丘（合众之帽）,未匹配
49,皮卡丘（卡洛斯之帽）,未匹配
50,皮卡丘（阿罗拉之帽）,未匹配
51,皮卡丘（搭档之帽）,未匹配
52,皮卡丘（搭档）,未匹配
53,皮卡丘（世界之帽）,未匹配
54,皮卡丘（超极巨化）,未匹配
56,雷丘（阿罗拉的样子）,未匹配
57,雷丘（超级进化X）,未匹配
58,雷丘（超级进化Y）,未匹配
60,穿山鼠（阿罗拉的样子）,未匹配
62,穿山王（阿罗拉的样子）,未匹配
71,皮可西（超级进化）,未匹配
73,六尾（阿罗拉的样子）,未匹配
75,九尾（阿罗拉的样子）,未匹配
88,地鼠（阿罗拉的样子）,未匹配
90,三地鼠（阿罗拉的样子）,未匹配
92,喵喵（阿罗拉的样子）,未匹配
93,喵喵（伽勒尔的样子）,未匹配
94,喵喵（超极巨化）,未匹配
96,猫老大（阿罗拉的样子）,未匹配
102,卡蒂狗（洗翠的样子）,未匹配
104,风速狗（洗翠的样子）,未匹配
111,胡地（超级进化）,未匹配
115,怪力（超极巨化）,未匹配
119,大食花（超级进化）,未匹配
123,小拳石（阿罗拉的样子）,未匹配
125,隆隆石（阿罗拉的样子）,未匹配
127,隆隆岩（阿罗拉的样子）,未匹配
129,小火马（伽勒尔的样子）,未匹配
131,烈焰马（伽勒尔的样子）,未匹配
133,呆呆兽（伽勒尔的样子）,未匹配
135,呆壳兽（超级进化）,未匹配
136,呆壳兽（伽勒尔的样子）,未匹配
140,大葱鸭（伽勒尔的样子）,未匹配
146,臭泥（阿罗拉的样子）,未匹配
148,臭臭泥（阿罗拉的样子）,未匹配
154,耿鬼（超级进化）,未匹配
155,耿鬼（超极巨化）,未匹配
161,巨钳蟹（超极巨化）,未匹配
163,霹雳电球（洗翠的样子）,未匹配
165,顽皮雷弹（洗翠的样子）,未匹配
168,椰蛋树（阿罗拉的样子）,未匹配
171,嘎啦嘎啦（阿罗拉的样子）,未匹配
172,嘎啦嘎啦（霸主）,未匹配
178,双弹瓦斯（伽勒尔的样子）,未匹配
184,袋兽（超级进化）,未匹配
191,宝石海星（超级进化）,未匹配
193,魔墙人偶（伽勒尔的样子）,未匹配
199,凯罗斯（超级进化）,未匹配
201,肯泰罗（帕底亚的样子 斗战种）,未匹配
202,肯泰罗（帕底亚的样子 火炽种）,未匹配
203,肯泰罗（帕底亚的样子 水澜种）,未匹配
206,暴鲤龙（超级进化）,未匹配
208,拉普拉斯（超极巨化）,未匹配
211,伊布（搭档）,未匹配
212,伊布（超极巨化）,未匹配
222,化石翼龙（超级进化）,未匹配
224,卡比兽（超极巨化）,未匹配
226,急冻鸟（伽勒尔的样子）,未匹配
228,闪电鸟（伽勒尔的样子）,未匹配
230,火焰鸟（伽勒尔的样子）,未匹配
234,快龙（超级进化）,未匹配
236,超梦（超级进化X）,未匹配
237,超梦（超级进化Y）,未匹配
242,大竺葵（超级进化）,未匹配
246,火暴兽（洗翠的样子）,未匹配
250,大力鳄（超级进化）,未匹配
272,电龙（超级进化）,未匹配
286,乌波（帕底亚的样子）,未匹配
292,呆呆王（伽勒尔的样子）,未匹配
302,大钢蛇（超级进化）,未匹配
306,千针鱼（洗翠的样子）,未匹配
308,巨钳螳螂（超级进化）,未匹配
311,赫拉克罗斯（超级进化）,未匹配
313,狃拉（洗翠的样子）,未匹配
321,太阳珊瑚（伽勒尔的样子）,未匹配
327,盔甲鸟（超级进化）,未匹配
330,黑鲁加（超级进化）,未匹配
350,班基拉斯（超级进化）,未匹配
357,蜥蜴王（超级进化）,未匹配
361,火焰鸡（超级进化）,未匹配
365,巨沼怪（超级进化）,未匹配
369,蛇纹熊（伽勒尔的样子）,未匹配
371,直冲熊（伽勒尔的样子）,未匹配
390,沙奈朵（超级进化）,未匹配
411,勾魂眼（超级进化）,未匹配
413,大嘴娃（超级进化）,未匹配
417,波士可多拉（超级进化）,未匹配
420,恰雷姆（超级进化）,未匹配
423,雷电兽（超级进化）,未匹配
425,負电拍拍,未匹配
433,巨牙鲨（超级进化）,未匹配
438,喷火驼（超级进化）,未匹配
450,七夕青鸟（超级进化）,未匹配
468,飘浮泡泡（晴天形态）,未匹配
469,飘浮泡泡（雨天形态）,未匹配
470,飘浮泡泡（雪天形态）,未匹配
474,诅咒娃娃（超级进化）,未匹配
479,风铃铃（超级进化）,未匹配
481,阿勃梭鲁（超级进化）,未匹配
482,阿勃梭鲁（超级进化Z）,未匹配
