name,category,page_count,call_count
N,inline,34070,40407
TCG,unknown,17963,78004
神奇宝贝百科卡牌工程,drop,17364,17366
Game,inline,16745,37724
卡牌信息/attack,unknown,14285,21816
ExpansionList/main,unknown,13938,26921
ExpansionList/end,unknown,13937,13942
ExpansionList/header,unknown,13935,13935
名字/entry,infobox,11758,133715
名字/header,infobox,11522,12921
卡牌信息/header,unknown,9393,9393
M,inline,8878,63709
-,unknown,8857,13017
Tt,inline,7242,51952
ExpansionList/header/zh,unknown,6184,6185
ExpansionList/main/zh,unknown,6183,11896
ExpansionList/end/zh,unknown,6178,6178
MSP,unknown,5357,87618
Learnlist/levelh,unknown,5108,6047
Learnlist/levelf,unknown,5108,6047
招式表间链接,unknown,5053,5053
Learnlist/tmh,unknown,4853,5451
Learnlist/tmf,unknown,4853,5451
I,inline,4481,55568
Type,inline,4234,11044
Wp,inline,4154,21697
Gen,unknown,3946,7613
Learnlist/tutorh,unknown,3888,4501
Learnlist/tutorf,unknown,3888,4501
MSPN,unknown,3816,41008
Learnlist/breedh,unknown,3807,4189
Learnlist/breedf,unknown,3807,4189
An,unknown,3778,18075
PS,unknown,3374,13367
暂译,unknown,3205,3205
Par,unknown,2844,4806
神奇宝贝百科道具工程,drop,2681,2681
Game2,inline,2572,9199
TP2,unknown,2515,7993
小作品,unknown,2515,2515
E,unknown,2455,9330
卡牌信息/svend,unknown,2440,2440
未完成,unknown,2422,2440
Main,inline,2411,7103
!,unknown,2403,8596
卡牌信息/end,unknown,2346,2346
神奇寶貝百科角色工程,unknown,2262,2262
卡牌信息/power,unknown,2259,2272
TP1,unknown,2249,19038
Rt,unknown,2227,9924
卡牌信息/ssend,unknown,2087,2087
神奇宝贝百科旁支游戏工程,drop,2058,2058
包包信息框,unknown,1988,10282
包包信息框/h,unknown,1988,2057
Reflist,unknown,1963,2064
道具信息框/game,drop,1951,1999
卡牌信息/smend,unknown,1936,1936
JP,unknown,1906,8061
道具地点,unknown,1903,2655
道具信息框,infobox,1901,1949
Langtt,inline,1895,6055
TCGP/ipack,unknown,1873,4215
ExpansionList/main/Pocket,unknown,1868,2925
ExpansionList/header/Pocket,unknown,1868,1868
ExpansionList/end/Pocket,unknown,1865,1865
C,unknown,1853,75174
神奇宝贝百科地点工程,drop,1767,1768
Pkm,unknown,1757,3093
卡牌信息/header/Pocket,unknown,1745,1745
卡牌信息/end/Pocket,unknown,1745,1745
EP,unknown,1682,7616
A,inline,1605,6789
DL,unknown,1573,6873
$,unknown,1500,17425
Learnlist/prevoh,unknown,1499,1755
Learnlist/prevof,unknown,1499,1755
Mov,unknown,1477,4035
劇透提示,unknown,1466,1466
Bag,unknown,1454,297482
DP,unknown,1371,5396
AG,unknown,1369,5221
Sup/6,unknown,1369,3904
神奇寶貝百科動畫工程,unknown,1362,1367
Adv,unknown,1361,5909
训练家卡信息/main,unknown,1347,1355
Chap,unknown,1331,2489
卡牌信息/header/一二,unknown,1326,1357
神奇宝贝百科漫画工程,unknown,1279,1279
S,inline,1278,4597
训练家卡信息/header,unknown,1274,1278
卡牌信息/dpptend,unknown,1270,1270
Side,unknown,1264,16833
配音员/header,unknown,1257,1515
XY,unknown,1234,4723
训练家卡信息/end,unknown,1229,1230
劇透結束,unknown,1221,1222
BW,unknown,1189,4122
消歧义,unknown,1180,1180
登场人物信息框,unknown,1172,1174
SM,unknown,1167,5176
神奇宝贝百科动画工程,unknown,1161,1161
Sup/7,unknown,1108,2735
属性相性/entry,unknown,1098,2582
属性相性/header,unknown,1098,1843
PokémonPrevNext,drop,1028,2056
收视率,unknown,1027,1027
获得方式/main,unknown,1025,16511
图鉴,drop,1025,1026
获得方式/header,unknown,1025,1025
获得方式/end,unknown,1025,1025
形象,unknown,1025,1025
SS,unknown,1020,4902
动画信息框,unknown,1019,1019
种族值,unknown,1015,1288
SidePokémonPrevNext,unknown,996,1992
Typelink,unknown,988,8976
TRT,unknown,981,1259
卡牌信息/exend,unknown,977,979
队伍/main,unknown,943,11688
招式信息框,infobox,935,936
招式信息框/game,drop,935,936
进化框,unknown,922,942
神奇寶貝百科招式工程,unknown,918,918
Sup/5,unknown,917,2843
招式说明,unknown,891,891
隊伍/header,unknown,883,3331
隊伍/end,unknown,882,3021
Itemtable,unknown,861,1972
Itemtable/end,unknown,860,1983
Gamep,unknown,847,5206
Movelistheader,infobox,840,1630
Movelistend,infobox,838,1627
日版卡牌,unknown,834,834
活动赠送宝可梦,unknown,818,1136
Learnlist/level8,unknown,816,20089
主角,unknown,803,7074
隊伍/pokemon,unknown,802,15296
寶可夢信息框,unknown,802,802
Learnlist/tm8,unknown,797,41591
TM,unknown,796,3000
Frac,unknown,782,4467
消消乐信息框,unknown,780,966
Animedexbody,drop,778,1219
Animedexheader,drop,778,1112
Animedexfooter,drop,778,1112
Learnlist/tutor7,unknown,777,9773
消消乐舞台信息框,unknown,775,2162
Learnlist/tm7,unknown,771,28248
Learnlist/level7,unknown,755,14413
Lang,inline,753,2483
Sup/4,unknown,749,1887
Movegen,unknown,748,759
GO信息框,unknown,744,887
Gamemd,unknown,742,1334
招式信息框/extra,drop,739,739
GameIconzh/8,unknown,734,1390
PrevNextSpe/Rd,unknown,722,722
Learnlist/level9,unknown,720,11957
Learnlist/tm9,unknown,714,35138
卡牌列表/footer,unknown,706,1003
训练家宝可梦,unknown,702,2181
卡牌信息/header/ADV,unknown,695,697
SV,unknown,693,4243
Learnlist/tutor6,unknown,692,7665
Learnlist/tm6,unknown,684,24979
Sup/W,unknown,682,4716
地点信息框,infobox,681,681
GameIconzh/7,unknown,680,1540
卡牌列表/header,unknown,669,919
Dexpic,unknown,664,664
Learnlist/breed8,unknown,653,6849
动画招式/p,infobox,650,2859
动画招式,infobox,650,1199
Learnlist/breed7,unknown,646,7063
Learnlist/tutor8,unknown,644,4128
携带物品/main,infobox,641,2661
携带物品/header,infobox,641,693
携带物品/end,infobox,641,693
招式信息框/contest,drop,637,637
暫譯,unknown,625,625
Learnlist/tutor5,unknown,620,6937
Sup/3,unknown,611,1416
Learnlist/tm5,unknown,607,19800
捕捉/footer,unknown,607,1602
捕捉/header,unknown,606,1597
动画招式/tm,infobox,606,1141
关于,unknown,600,622
Badge,unknown,598,2063
Learnlist/breed9,unknown,594,3481
登場人物信息框,unknown,594,610
ExpansionPrevNext,unknown,589,590
Learnlist/breed6,unknown,586,6337
Advc,unknown,586,1920
NPC,unknown,582,584
快捷方式,unknown,581,581
神奇寶貝百科旁支遊戲工程,unknown,579,579
神奇宝贝百科角色工程,unknown,566,566
ExpansionList/header/p,unknown,565,565
ExpansionList/end/p,unknown,565,565
ExpansionList/main/p,unknown,559,897
动画宝可梦信息框,unknown,556,772
捕捉/div,unknown,551,3752
卡牌信息/旧end,unknown,550,550
Gameabbrevzh/8,unknown,546,1230
隊伍/main,unknown,539,2465
对话,unknown,535,980
訓練家寶可夢,unknown,533,1751
巢穴,unknown,532,1233
队伍/pokemon,unknown,527,9088
TRETTA,unknown,527,567
TRETTAInfobox,unknown,525,525
TRETTAData,unknown,525,525
队伍/end,unknown,522,1259
Learnlist/level5,unknown,519,7686
Anmov,unknown,515,2927
Anmov/h,unknown,515,784
Anmov/f,unknown,515,784
队伍/header,unknown,514,950
神奇宝贝百科音乐工程,unknown,510,510
Learnlist/level6,unknown,509,7998
Ho,unknown,505,769
神奇宝贝百科游戏工程,drop,504,504
MIS,unknown,502,31501
Gameabbrevzh/7,unknown,501,1028
TCG版本信息框/EN,unknown,499,499
Toggle/Content/Illus,unknown,496,496
區域資訊,unknown,495,4951
動畫信息框,unknown,484,484
PrevNextMasters,unknown,482,964
Learnlist/tutor8null,unknown,478,546
卡牌相关/header,unknown,475,482
卡牌相关/end,unknown,475,482
Sup/8,unknown,474,2594
卡牌相关/main,unknown,473,3975
剧透结束,unknown,473,481
GameIconzh/6,unknown,469,1478
TCGPM,unknown,467,758
Learnlist/tutor4,unknown,464,4990
Learnlist/level4,unknown,461,6505
Learnlist/tm4,unknown,453,16873
Sup/2,unknown,451,766
Ka,unknown,445,884
GameIconzh/5,unknown,436,992
Ex,unknown,436,482
ExpansionList/main/GB,unknown,428,638
ExpansionList/header/GB,unknown,428,428
活动赠送列表/main,unknown,425,1188
活动赠送列表/header,unknown,425,441
